번호,제조사,제품명,가격,세부스펙,이미지,상품주소
1,인텔,인텔 코어i5-10세대 10400F (코멧레이크S),"173,380","인텔(소켓1200) / 6코어 / 12스레드 / 메모리 규격 : DDR4 / 미탑재 / 14nm / 기본 클럭 : 2.9GHz / 최대 클럭 : 4.3GHz / L3 캐시 : 12MB / TDP : 65W / PCIe3.0 / 2666MHz / 기술 지원 : 옵테인 , SMT(하이퍼스레딩) / 쿨러 : 인텔 기본쿨러 포함 / 출시가: 155~157달러(VAT별도) 닫기",https://img.danuri.io/catalog-image/973/489/011/4496cebe45ad43d39e0b4d680efa0d4e.jpg?shrink=130:130&_v=20260921080455,https://prod.danawa.com/info/?pcode=11489973&cate=112747
2,인텔,인텔 코어i7-10세대 10700F (코멧레이크S),"279,810","인텔(소켓1200) / 8코어 / 16스레드 / 메모리 규격 : DDR4 / 미탑재 / 14nm / 기본 클럭 : 2.9GHz / 최대 클럭 : 4.8GHz / L3 캐시 : 16MB / TDP : 65W / PCIe3.0 / 2933MHz / 기술 지원 : 옵테인 , SMT(하이퍼스레딩) / 쿨러 : 미포함 닫기",https://img.danuri.io/catalog-image/861/824/011/33a6a03270dd4b5088aaf95081ca950c.jpg?shrink=130:130&_v=20260921080458,https://prod.danawa.com/info/?pcode=11824861&cate=112747
3,인텔,인텔 코어i5-10세대 10400 (코멧레이크S),"179,700","인텔(소켓1200) / 6코어 / 12스레드 / 메모리 규격 : DDR4 / 탑재 / 14nm / 기본 클럭 : 2.9GHz / 최대 클럭 : 4.3GHz / L3 캐시 : 12MB / TDP : 65W / PCIe3.0 / 2666MHz / 인텔 UHD 630 / 기술 지원 : 옵테인 , SMT(하이퍼스레딩) / 쿨러 : 기본형 벌크쿨러 닫기",https://img.danuri.io/catalog-image/010/480/011/2ac1d9e39dad41cfa7a29c20c1bf7160.jpg?shrink=130:130&_v=20260921080444,https://prod.danawa.com/info/?pcode=11480010&cate=112747
4,인텔,인텔 코어i5-10세대 10500 (코멧레이크S),"189,590","인텔(소켓1200) / 6코어 / 12스레드 / 메모리 규격 : DDR4 / 탑재 / 14nm / 기본 클럭 : 3.1GHz / 최대 클럭 : 4.5GHz / L3 캐시 : 12MB / TDP : 65W / PCIe3.0 / 2666MHz / 인텔 UHD 630 / 기술 지원 : 옵테인 , SMT(하이퍼스레딩) / 쿨러 : 기본형 벌크쿨러 닫기",https://img.danuri.io/catalog-image/766/480/011/3197cc90719d434cb69e1821faa1860b.jpg?shrink=130:130&_v=20260921080622,https://prod.danawa.com/info/?pcode=11480766&cate=112747
5,인텔,인텔 코어i3-10세대 10100F (코멧레이크S),"102,000","인텔(소켓1200) / 4코어 / 8스레드 / 메모리 규격 : DDR4 / 미탑재 / 14nm / 기본 클럭 : 3.6GHz / 최대 클럭 : 4.3GHz / L3 캐시 : 6MB / TDP : 65W / PCIe3.0 / 2666MHz / 기술 지원 : 옵테인 , SMT(하이퍼스레딩) / 쿨러 : 인텔 기본쿨러 포함 / 출시가: 79~97달러(VAT별도) 닫기",https://img.danuri.io/catalog-image/424/487/012/a2e70a0fcc574c2ab093ce4e60b962d6.jpg?shrink=130:130&_v=20260921080442,https://prod.danawa.com/info/?pcode=12487424&cate=112747
6,인텔,인텔 코어i3-10세대 10105F (코멧레이크S 리프레시),"110,000","인텔(소켓1200) / 4코어 / 8스레드 / 메모리 규격 : DDR4 / 미탑재 / 14nm / 기본 클럭 : 3.7GHz / 최대 클럭 : 4.4GHz / L3 캐시 : 6MB / TDP : 65W / PCIe3.0 / 2666MHz / 기술 지원 : 옵테인 , SMT(하이퍼스레딩) / 쿨러 : 인텔 기본쿨러 포함 / 출시가: 97달러(VAT별도) 닫기",https://img.danuri.io/catalog-image/334/753/013/0f8c702cb0db4c8fa165d2cfa5f6c634.jpg?shrink=130:130&_v=20260921140948,https://prod.danawa.com/info/?pcode=13753334&cate=112747
7,인텔,인텔 코어i9-10세대 10900K (코멧레이크S),"563,990","인텔(소켓1200) / 10코어 / 20스레드 / 메모리 규격 : DDR4 / 탑재 / 14nm / 기본 클럭 : 3.7GHz / 최대 클럭 : 5.3GHz / L3 캐시 : 20MB / TDP : 125W / PCIe3.0 / 2933MHz / 인텔 UHD 630 / 기술 지원 : 옵테인 , SMT(하이퍼스레딩) / 쿨러 : 미포함 닫기",https://img.danuri.io/catalog-image/857/309/012/b56236ade3bc4b4d975bed6bec8c2fbe.jpg?shrink=130:130&_v=20260921080457,https://prod.danawa.com/info/?pcode=12309857&cate=112747
8,인텔,인텔 코어i5-10세대 10600K (코멧레이크S),"209,200","인텔(소켓1200) / 6코어 / 12스레드 / 메모리 규격 : DDR4 / 탑재 / 14nm / 기본 클럭 : 4.1GHz / 최대 클럭 : 4.8GHz / L3 캐시 : 12MB / TDP : 125W / PCIe3.0 / 2666MHz / 인텔 UHD 630 / 기술 지원 : 옵테인 , SMT(하이퍼스레딩) / 쿨러 : 기본형 벌크쿨러 닫기",https://img.danuri.io/catalog-image/858/481/011/d9a00718a08a424b8767fe8382ea93c9.jpg?shrink=130:130&_v=20260921080458,https://prod.danawa.com/info/?pcode=11481858&cate=112747
9,인텔,인텔 코어i7-10세대 10700 (코멧레이크S),"272,970","인텔(소켓1200) / 8코어 / 16스레드 / 메모리 규격 : DDR4 / 탑재 / 14nm / 기본 클럭 : 2.9GHz / 최대 클럭 : 4.8GHz / L3 캐시 : 16MB / TDP : 65W / PCIe3.0 / 2933MHz / 인텔 UHD 630 / 기술 지원 : 옵테인 , SMT(하이퍼스레딩) / 쿨러 : 기본형 벌크쿨러 닫기",https://img.danuri.io/catalog-image/624/481/011/9d538d80ba414d9cb36e38744bdb10ef.jpg?shrink=130:130&_v=20260921143128,https://prod.danawa.com/info/?pcode=11481624&cate=112747
10,인텔,인텔 코어i9-10세대 10900 (코멧레이크S),"716,000","인텔(소켓1200) / 10코어 / 20스레드 / 메모리 규격 : DDR4 / 탑재 / 14nm / 기본 클럭 : 2.8GHz / 최대 클럭 : 5.2GHz / L3 캐시 : 20MB / TDP : 65W / PCIe3.0 / 2933MHz / 인텔 UHD 630 / 기술 지원 : 옵테인 , SMT(하이퍼스레딩) / 쿨러 : 기본형 벌크쿨러 닫기",https://img.danuri.io/catalog-image/941/870/011/8e84ff2554254ae2932a0da94f321649.jpg?shrink=130:130&_v=20260921080444,https://prod.danawa.com/info/?pcode=11870941&cate=112747
11,인텔,인텔 코어i7-10세대 10700K (코멧레이크S),"441,700","인텔(소켓1200) / 8코어 / 16스레드 / 메모리 규격 : DDR4 / 탑재 / 14nm / 기본 클럭 : 3.8GHz / 최대 클럭 : 5.1GHz / L3 캐시 : 16MB / TDP : 125W / PCIe3.0 / 2933MHz / 인텔 UHD 630 / 기술 지원 : 옵테인 , SMT(하이퍼스레딩) / 쿨러 : 미포함 닫기",https://img.danuri.io/catalog-image/776/479/011/4f2838a712ce4a1d88b1ac1b0ca36cc5.jpg?shrink=130:130&_v=20260921080457,https://prod.danawa.com/info/?pcode=11479776&cate=112747
12,인텔,인텔 코어i3-10세대 10100 (코멧레이크S),"159,890","인텔(소켓1200) / 4코어 / 8스레드 / 메모리 규격 : DDR4 / 탑재 / 14nm / 기본 클럭 : 3.6GHz / 최대 클럭 : 4.3GHz / L3 캐시 : 6MB / TDP : 65W / PCIe3.0 / 2666MHz / 인텔 UHD 630 / 기술 지원 : 옵테인 , SMT(하이퍼스레딩) / 쿨러 : 기본형 벌크쿨러 닫기",https://img.danuri.io/catalog-image/511/480/011/409d7a704fe347d9bf61aaeb73c5b0a8.jpg?shrink=130:130&_v=20260921080444,https://prod.danawa.com/info/?pcode=11480511&cate=112747
13,인텔,인텔 코어i3-10세대 10105 (코멧레이크S 리프레시),"154,560","인텔(소켓1200) / 4코어 / 8스레드 / 메모리 규격 : DDR4 / 탑재 / 14nm / 기본 클럭 : 3.7GHz / 최대 클럭 : 4.4GHz / L3 캐시 : 6MB / TDP : 65W / PCIe3.0 / 2666MHz / 인텔 UHD 630 / 기술 지원 : 옵테인 , SMT(하이퍼스레딩) / 쿨러 : 인텔 기본쿨러 포함 / 출시가: 122달러(VAT별도) 닫기",https://img.danuri.io/catalog-image/386/409/014/d707ee0ab97d4f33ba96fc5f4427859c.jpg?shrink=130:130&_v=20260921080457,https://prod.danawa.com/info/?pcode=14409386&cate=112747
14,인텔,인텔 코어i7-10세대 10700KF (코멧레이크S),"280,900","인텔(소켓1200) / 8코어 / 16스레드 / 메모리 규격 : DDR4 / 미탑재 / 14nm / 기본 클럭 : 3.8GHz / 최대 클럭 : 5.1GHz / L3 캐시 : 16MB / TDP : 125W / PCIe3.0 / 2933MHz / 기술 지원 : 옵테인 , SMT(하이퍼스레딩) / 쿨러 : 미포함 닫기",https://img.danuri.io/catalog-image/075/110/012/63beb43276e54effb1a55052829151b2.jpg?shrink=130:130&_v=20260921080441,https://prod.danawa.com/info/?pcode=12110075&cate=112747
15,인텔,인텔 코어i9-10세대 10900F (코멧레이크S),"630,000","인텔(소켓1200) / 10코어 / 20스레드 / 메모리 규격 : DDR4 / 미탑재 / 14nm / 기본 클럭 : 2.8GHz / 최대 클럭 : 5.2GHz / L3 캐시 : 20MB / TDP : 65W / PCIe3.0 / 2933MHz / 기술 지원 : 옵테인 , SMT(하이퍼스레딩) / 쿨러 : 기본형 벌크쿨러 닫기",https://img.danuri.io/catalog-image/936/824/011/e683c8e826ce4572b4cfa92dea60655c.jpg?shrink=130:130&_v=20260917080516,https://prod.danawa.com/info/?pcode=11824936&cate=112747
16,인텔,인텔 코어i5-10세대 10600KF (코멧레이크S),"169,710","인텔(소켓1200) / 6코어 / 12스레드 / 메모리 규격 : DDR4 / 미탑재 / 14nm / 기본 클럭 : 4.1GHz / 최대 클럭 : 4.8GHz / L3 캐시 : 12MB / TDP : 125W / PCIe3.0 / 2666MHz / 기술 지원 : 옵테인 , SMT(하이퍼스레딩) / 쿨러 : 기본형 벌크쿨러 닫기",https://img.danuri.io/catalog-image/750/110/012/90d917c43dc34a70aa0ea7456e810330.jpg?shrink=130:130&_v=20260917080701,https://prod.danawa.com/info/?pcode=12110750&cate=112747
