번호,제조사,제품명,가격,세부스펙,이미지,상품주소
1,GIGABYTE,GIGABYTE 지포스 RTX 3050 WINDFORCE OC V2 D6 6GB 피씨디렉트,"365,730","RTX 3050 / PCIe4.0x16(at x8) / 300W 이상 / 전원 포트 : 없음 / 가로(길이) : 191mm / 베이스클럭 : 1042 / 부스트클럭 : 1477MHz / 스트림 프로세서 : 2304 / GDDR6 / 출력단자 : HDMI2.1 , DP1.4 / 지원정보 : 8K 지원 , HDCP 2.3 / 2팬 / 두께 : 36mm / 제로팬(0-dB기술) / A/S 3년",https://img.danuri.io/catalog-image/218/973/071/a20e378dec4547959866e299898d2b3f.jpg?shrink=130:130&_v=20260921135623,https://prod.danawa.com/info/?pcode=71973218&cate=112753
2,GIGABYTE,GIGABYTE 지포스 RTX 3050 WINDFORCE OC V2 D6 6GB 제이씨현,"364,910","RTX 3050 / PCIe4.0x16(at x8) / 300W 이상 / 전원 포트 : 없음 / 가로(길이) : 191mm / 베이스클럭 : 1042 / 부스트클럭 : 1477MHz / 스트림 프로세서 : 2304 / GDDR6 / 출력단자 : HDMI2.1 , DP1.4 / 지원정보 : 8K 지원 , HDCP 2.3 / 2팬 / 두께 : 36mm / 제로팬(0-dB기술) / A/S 3년",https://img.danuri.io/catalog-image/731/901/071/ffb2cd620f0e499aaf35f6b3719d2a6d.jpg?shrink=130:130&_v=20260921150155,https://prod.danawa.com/info/?pcode=71901731&cate=112753
3,GIGABYTE,GIGABYTE 지포스 RTX 3050 WINDFORCE OC D6 6GB 피씨디렉트,"369,600","RTX 3050 / PCIe4.0x16(at x8) / 300W 이상 / 전원 포트 : 없음 / 가로(길이) : 191mm / 베이스클럭 : 1042 / 부스트클럭 : 1477MHz / 스트림 프로세서 : 2304 / GDDR6 / 출력단자 : HDMI2.1 , DP1.4 / 지원정보 : 8K 지원 , HDCP 2.3 / 2팬 / 두께 : 36mm / 제로팬(0-dB기술) / A/S 3년",https://img.danuri.io/catalog-image/325/003/046/7ec197dca06640ce893cf33132d3bf6a.jpg?shrink=130:130&_v=20260921080609,https://prod.danawa.com/info/?pcode=46003325&cate=112753
4,GIGABYTE,GIGABYTE 지포스 RTX 3060 WINDFORCE OC D6 12GB 피씨디렉트,"521,970","RTX 3060 / PCIe4.0x16 / 550W 이상 / 전원 포트 : 8핀 x1 / 가로(길이) : 198mm / 베이스클럭 : 1792 / 스트림 프로세서 : 3584 / GDDR6 / VRAM 대역폭 : 360 GB/s / 출력단자 : HDMI2.1 , DP1.4 / 지원정보 : 8K 지원 / 2팬 / 두께 : 39mm / 제로팬(0-dB기술) / 백플레이트 / A/S 3년",https://img.danuri.io/catalog-image/794/658/017/3365dc6567f64fa5ae2d59129cef1c41.jpg?shrink=130:130&_v=20260921110328,https://prod.danawa.com/info/?pcode=17658794&cate=112753
5,GIGABYTE,GIGABYTE 지포스 RTX 3060 WINDFORCE OC D6 12GB 제이씨현,"563,160","RTX 3060 / PCIe4.0x16 / 550W 이상 / 전원 포트 : 8핀 x1 / 가로(길이) : 198mm / 베이스클럭 : 1792 / 스트림 프로세서 : 3584 / GDDR6 / VRAM 대역폭 : 360 GB/s / 출력단자 : HDMI2.1 , DP1.4 / 지원정보 : 8K 지원 / 2팬 / 두께 : 39mm / 제로팬(0-dB기술) / 백플레이트 / A/S 3년",https://img.danuri.io/catalog-image/824/658/017/af89a256cfbf429f82bc26274c0cbadf.jpg?shrink=130:130&_v=20260921110112,https://prod.danawa.com/info/?pcode=17658824&cate=112753
6,GIGABYTE,GIGABYTE 지포스 RTX 3060 GAMING OC V2 D6 8GB 피씨디렉트,"521,040","RTX 3060 / PCIe4.0x16 / 550W 이상 / 전원 포트 : 8핀 x1 / 가로(길이) : 198mm / 부스트클럭 : 1807MHz / 스트림 프로세서 : 3584 / GDDR6 / 출력단자 : HDMI2.1 , DP1.4 / 지원정보 : 8K 지원 / 2팬 / 두께 : 39mm / 백플레이트 / 제로팬(0-dB기술) / A/S 3년",https://img.danuri.io/catalog-image/730/676/072/12dbba9f2a7243c997c55698eb9839bb.jpg?shrink=130:130&_v=20260921080458,https://prod.danawa.com/info/?pcode=72676730&cate=112753
7,GIGABYTE,GIGABYTE 지포스 RTX 3070 GAMING OC V2 D6 8GB 피씨디렉트,"805,000","RTX 3070 / PCIe4.0x16 / 650W 이상 / 전원 포트 : 6핀 x1 + 8핀 x1 / 가로(길이) : 286mm / 부스트클럭 : 1815MHz / 스트림 프로세서 : 5888 / GDDR6 / 출력단자 : HDMI2.1 , DP1.4 / 지원정보 : HDCP 2.3 , 8K 지원 , HDR 지원 / 3팬 / 두께 : 50~59mm / 제로팬(0-dB기술) / Dual BIOS / LED 라이트 / 백플레이트 / RGB FUSION / A/S 3년 / LHR(Lite Hash Rate) 버전",https://img.danuri.io/catalog-image/991/857/014/e64be2a6d6c7458abce4c3b17770da5e.jpg?shrink=130:130&_v=20260921080444,https://prod.danawa.com/info/?pcode=14857991&cate=112753
8,GIGABYTE,GIGABYTE 지포스 RTX 4060 Ti WINDFORCE OC D6 8GB 제이씨현,"2,697,030","RTX 4060 Ti / PCIe4.0x16(at x8) / 500W 이상 / 전원 포트 : 8핀 x1 / 가로(길이) : 201mm / 부스트클럭 : 2550MHz / 스트림 프로세서 : 4352 / 최대 AI TOPS : 353(sparsity) / GDDR6 / 출력단자 : HDMI2.1 , DP1.4 / 지원정보 : 8K 지원 , HDR 지원 / 2팬 / 두께 : 41mm / 백플레이트 / 제로팬(0-dB기술) / A/S 3년",https://img.danuri.io/catalog-image/644/730/020/4c23552d72a04385b3b9f177059e753b.jpg?shrink=130:130&_v=20260921080458,https://prod.danawa.com/info/?pcode=20730644&cate=112753
9,GIGABYTE,GIGABYTE 지포스 RTX 4060 Ti WINDFORCE OC D6 8GB 피씨디렉트,"1,153,400","RTX 4060 Ti / PCIe4.0x16(at x8) / 500W 이상 / 전원 포트 : 8핀 x1 / 가로(길이) : 201mm / 부스트클럭 : 2550MHz / 스트림 프로세서 : 4352 / 최대 AI TOPS : 353(sparsity) / GDDR6 / 출력단자 : HDMI2.1 , DP1.4 / 지원정보 : 8K 지원 , HDR 지원 / 2팬 / 두께 : 41mm / 백플레이트 / A/S 3년",https://img.danuri.io/catalog-image/055/611/020/2bc49ddd09ec4fdd8f063a7c00eedd6f.jpg?shrink=130:130&_v=20260921080443,https://prod.danawa.com/info/?pcode=20611055&cate=112753
10,GIGABYTE,GIGABYTE 지포스 RTX 4070 SUPER GAMING OC D6X 12GB 제이씨현,"5,407,620","RTX 4070 SUPER / PCIe4.0x16 / 700W 이상 / 전원 포트 : 16핀(12VHPWR) x1 / 가로(길이) : 300mm / 부스트클럭 : 2565MHz / 스트림 프로세서 : 7168 / 최대 AI TOPS : 568(AI sparsity) / GDDR6X / VRAM 대역폭 : 504 GB/s / 출력단자 : HDMI2.1 , DP1.4 / 지원정보 : 8K 지원 , HDR 지원 , HDCP 2.3 / 3팬 / 두께 : 57.6mm / 제로팬(0-dB기술) / 백플레이트 / LED 라이트 / Dual BIOS / 구성품 : 2x8핀 to 16핀 커넥터 / A/S 4년",https://img.danuri.io/catalog-image/785/493/032/3782680db5574daa9cff7ec1c1c48cf6.jpg?shrink=130:130&_v=20260921080456,https://prod.danawa.com/info/?pcode=32493785&cate=112753
