번호,제조사,제품명,가격,세부스펙,이미지,상품주소
1,ASUS,ASUS TUF Gaming B550M-PLUS STCOM,"153,690","AMD(소켓AM4) / AMD B550 / DDR4 / VGA 연결 : PCIe4.0 x16 / M-ATX (24.4x24.4cm) / 전원부 : 8+2페이즈 / 50A / Vcore출력합계 : 400 / 메모리 4800MHz (PC4-38400) / 4개 / 메모리 용량 : 최대 128GB / 확장슬롯 PCIe버전 : PCIe4.0 , PCIe3.0 / PCIex16 : 1개 / PCIex16(at x4) : 1개 / PCIex1 : 1개 / CrossFire X / 저장장치 SATA3 : 4개 / M.2 : 2개 / M.2 연결 : PCIe , NVMe , SATA / 후면단자 HDMI / DP / USB3.x 10Gbps / USB3.x 5Gbps / USB 2.0 / RJ-45 / S/PDIF / 오디오잭 / PS/2 / USB A타입 : 7개 / USB C타입 : 1개 / 랜/오디오 유선랜 칩셋 : Realtek RTL8125B / 2.5Gbps / RJ-45 : 1개 / 오디오 칩셋 : Realtek ALC S1200A / 7.1채널(8ch) / 내부I/O USB/팬 헤더 : USB3.0 헤더 , USB2.0 헤더 , RGB 12V 4핀 헤더 , ARGB 5V 3핀 헤더 / 시스템팬 4핀 : 2개 / I/O 헤더 : TPM 헤더 / 특징 DrMOS / M.2 히트싱크 / LED라이트 / UEFI 닫기",https://img.danuri.io/catalog-image/368/571/011/2c90536df0e74012bf1668d9e427c763.jpg?shrink=130:130&_v=20260921110112,https://prod.danawa.com/info/?pcode=11571368&cate=112751
2,ASUS,ASUS PRIME A520M-A II 대원씨티에스,"79,770","AMD(소켓AM4) / AMD A520 / DDR4 / VGA 연결 : PCIe3.0 x16 / M-ATX (24.4x24.4cm) / 전원부 : 4+2페이즈 / 메모리 4866MHz (PC4-38900) / 4개 / 확장슬롯 PCIe버전 : PCIe3.0 , PCIe / PCIex16 : 1개 / PCIex1 : 2개 / 저장장치 SATA3 : 4개 / M.2 : 1개 / M.2 연결 : PCIe , NVMe , SATA / 후면단자 HDMI / DP / D-SUB / USB3.x 5Gbps / USB 2.0 / RJ-45 / 오디오잭 / PS/2 / USB A타입 : 6개 / 랜/오디오 유선랜 칩셋 : Realtek 1Gb / 1Gbps / RJ-45 : 1개 / 오디오 칩셋 : Realtek ALC887/897 / 7.1채널(8ch) / 내부I/O USB/팬 헤더 : USB3.0 헤더 , USB2.0 헤더 , RGB 12V 4핀 헤더 , ARGB 5V 3핀 헤더 / 시스템팬 4핀 : 2개 / I/O 헤더 : TPM 헤더 / 특징 UEFI 닫기",https://img.danuri.io/catalog-image/179/284/016/fb70cf4490884c50a4349a550ee4a9c0.jpg?shrink=130:130&_v=20260921080458,https://prod.danawa.com/info/?pcode=16284179&cate=112751
3,ASUS,ASUS PRIME A520M-K 대원씨티에스,"60,300","AMD(소켓AM4) / AMD A520 / DDR4 / VGA 연결 : PCIe3.0 x16 / M-ATX (22.6x22.1cm) / 전원부 : 4+2페이즈 / 메모리 4600MHz (PC4-36800) / 2개 / 메모리 용량 : 최대 64GB / 확장슬롯 PCIe버전 : PCIe3.0 / PCIex16 : 1개 / PCIex1 : 2개 / 저장장치 SATA3 : 4개 / M.2 : 1개 / M.2 연결 : PCIe , NVMe , SATA / 후면단자 HDMI / D-SUB / USB3.x 5Gbps / USB 2.0 / RJ-45 / 오디오잭 / PS/2 / USB A타입 : 6개 / 랜/오디오 유선랜 칩셋 : Realtek RTL8111H / 1Gbps / RJ-45 : 1개 / 오디오 칩셋 : Realtek ALC887 / 7.1채널(8ch) / 내부I/O USB/팬 헤더 : USB3.0 헤더 , USB2.0 헤더 / 시스템팬 4핀 : 1개 / I/O 헤더 : TPM 헤더 / 특징 UEFI 닫기",https://img.danuri.io/catalog-image/566/069/012/91d527634a8f4e9ea6dfa28b815d0e13.jpg?shrink=130:130&_v=20260921080444,https://prod.danawa.com/info/?pcode=12069566&cate=112751
4,ASUS,ASUS PRIME B550M-K ARGB 대원씨티에스,"108,170","AMD(소켓AM4) / AMD B550 / DDR4 / VGA 연결 : PCIe4.0 x16 / M-ATX (24.4x24.4cm) / [메모리] 5100MHz (PC4-40800) / 2개 / 메모리 용량 : 최대 64GB / [확장슬롯] PCIe버전 : PCIe4.0 , PCIe3.0 / PCIex16 : 2개 / PCIex1 : 1개 / [저장장치] M.2 : 2개 / SATA3 : 4개 / M.2 연결 : PCIe4.0 , PCIe , NVMe , SATA / [후면단자] HDMI / DP / USB3.x 5Gbps / USB 2.0 / RJ-45 / 오디오잭 / PS/2 / USB A타입 : 6개 / [랜/오디오] 유선랜 칩셋 : Realtek / 1Gbps / RJ-45 : 1개 / 오디오 칩셋 : Realtek / 7.1채널(8ch) / [내부I/O] USB/팬 헤더 : USB3.0 헤더 , USB2.0 헤더 , ARGB 5V 3핀 헤더 / 시스템팬 4핀 : 2개 / I/O 헤더 : TPM 헤더 , 프론트오디오AAFP 헤더 , COM포트 헤더 , S/PDIF OUT 헤더 / [특징] UEFI 닫기",https://img.danuri.io/catalog-image/849/968/105/7ff224dd12da44808b591160f5c39cbc.jpg?shrink=130:130&_v=20260921110333,https://prod.danawa.com/info/?pcode=105968849&cate=112751
5,ASUS,ASUS PRIME B550M-A 대원씨티에스,"123,380","AMD(소켓AM4) / AMD B550 / DDR4 / VGA 연결 : PCIe4.0 x16 / M-ATX (24.4x24.4cm) / [메모리] 4800MHz (PC4-38400) / 4개 / 메모리 용량 : 최대 128GB / [확장슬롯] PCIe버전 : PCIe4.0 , PCIe3.0 / PCIex16 : 1개 / PCIex1 : 2개 / [저장장치] M.2 : 2개 / SATA3 : 4개 / M.2 연결 : PCIe , NVMe , SATA / [후면단자] HDMI / DVI / D-SUB / USB3.x 10Gbps / USB3.x 5Gbps / RJ-45 / 오디오잭 / PS/2 / USB A타입 : 6개 / [랜/오디오] 유선랜 칩셋 : Realtek RTL8111H / 1Gbps / RJ-45 : 1개 / 오디오 칩셋 : Realtek ALC887 / 7.1채널(8ch) / [내부I/O] USB/팬 헤더 : USB3.0 헤더 , USB2.0 헤더 , RGB 12V 4핀 헤더 , ARGB 5V 3핀 헤더 / 시스템팬 4핀 : 2개 / I/O 헤더 : TPM 헤더 / [특징] UEFI 닫기",https://img.danuri.io/catalog-image/458/574/011/2577db3f96e846129a1ce93837a37624.jpg?shrink=130:130&_v=20260921080444,https://prod.danawa.com/info/?pcode=11574458&cate=112751
6,ASUS,ASUS PRIME A520M-K 아이보라,"64,000","AMD(소켓AM4) / AMD A520 / DDR4 / VGA 연결 : PCIe3.0 x16 / M-ATX (22.6x22.1cm) / 전원부 : 4+2페이즈 / [메모리] 4600MHz (PC4-36800) / 2개 / 메모리 용량 : 최대 64GB / [확장슬롯] PCIe버전 : PCIe3.0 / PCIex16 : 1개 / PCIex1 : 2개 / [저장장치] M.2 : 1개 / SATA3 : 4개 / M.2 연결 : PCIe , NVMe , SATA / [후면단자] HDMI / D-SUB / USB3.x 5Gbps / USB 2.0 / RJ-45 / 오디오잭 / PS/2 / USB A타입 : 6개 / [랜/오디오] 유선랜 칩셋 : Realtek RTL8111H / 1Gbps / RJ-45 : 1개 / 오디오 칩셋 : Realtek ALC887 / 7.1채널(8ch) / [내부I/O] USB/팬 헤더 : USB3.0 헤더 , USB2.0 헤더 / 시스템팬 4핀 : 1개 / I/O 헤더 : TPM 헤더 / [특징] UEFI 닫기",https://img.danuri.io/catalog-image/610/067/012/be5c8d4dfdb744caaf1ac425acb187ff.jpg?shrink=130:130&_v=20260921080457,https://prod.danawa.com/info/?pcode=12067610&cate=112751
7,ASUS,ASUS PRIME A520M-K ARGB 대원씨티에스,"66,560","AMD(소켓AM4) / AMD A520 / DDR4 / VGA 연결 : PCIe3.0 x16 / M-ATX (22.6x22.6cm) / 전원부 : 4+2페이즈 / 메모리 5100MHz (PC4-40800) / 2개 / 메모리 용량 : 최대 64GB / 확장슬롯 PCIe버전 : PCIe3.0 / PCIex16 : 1개 / PCIex1 : 1개 / 저장장치 SATA3 : 4개 / M.2 : 2개 / M.2 연결 : PCIe , NVMe , SATA / 후면단자 HDMI / DP / USB3.x 5Gbps / USB 2.0 / RJ-45 / 오디오잭 / PS/2 / USB A타입 : 6개 / 랜/오디오 유선랜 칩셋 : Realtek RTL8111H / 1Gbps / RJ-45 : 1개 / 오디오 칩셋 : Realtek / 7.1채널(8ch) / 내부I/O USB/팬 헤더 : USB3.0 헤더 , USB2.0 헤더 , ARGB 5V 3핀 헤더 / 시스템팬 4핀 : 1개 / I/O 헤더 : TPM 헤더 , 프론트오디오AAFP 헤더 , COM포트 헤더 / 특징 UEFI 닫기",https://img.danuri.io/catalog-image/897/721/122/e64a32718e6e4afcbcd7b729fc80b87a.jpeg?shrink=130:130&_v=20260921100223,https://prod.danawa.com/info/?pcode=122721897&cate=112751
8,ASUS,ASUS PRIME A520M-K 인텍앤컴퍼니,"62,520","AMD(소켓AM4) / AMD A520 / DDR4 / VGA 연결 : PCIe3.0 x16 / M-ATX (22.6x22.1cm) / 전원부 : 4+2페이즈 / 메모리 4600MHz (PC4-36800) / 2개 / 메모리 용량 : 최대 64GB / 확장슬롯 PCIe버전 : PCIe3.0 / PCIex16 : 1개 / PCIex1 : 2개 / 저장장치 SATA3 : 4개 / M.2 : 1개 / M.2 연결 : PCIe , NVMe , SATA / 후면단자 HDMI / D-SUB / USB3.x 5Gbps / USB 2.0 / RJ-45 / 오디오잭 / PS/2 / USB A타입 : 6개 / 랜/오디오 유선랜 칩셋 : Realtek RTL8111H / 1Gbps / RJ-45 : 1개 / 오디오 칩셋 : Realtek ALC887 / 7.1채널(8ch) / 내부I/O USB/팬 헤더 : USB3.0 헤더 , USB2.0 헤더 / 시스템팬 4핀 : 1개 / I/O 헤더 : TPM 헤더 / 특징 UEFI 닫기",https://img.danuri.io/catalog-image/555/643/122/6cd8dbc2c0ea4e3f88164faef50a9a1c.jpeg?shrink=130:130&_v=20260921080443,https://prod.danawa.com/info/?pcode=122643555&cate=112751
9,ASUS,ASUS PRIME A520M-K STCOM,"62,070","AMD(소켓AM4) / AMD A520 / DDR4 / VGA 연결 : PCIe3.0 x16 / M-ATX (22.6x22.1cm) / 전원부 : 4+2페이즈 / [메모리] 4600MHz (PC4-36800) / 2개 / 메모리 용량 : 최대 64GB / [확장슬롯] PCIe버전 : PCIe3.0 / PCIex16 : 1개 / PCIex1 : 2개 / [저장장치] M.2 : 1개 / SATA3 : 4개 / M.2 연결 : PCIe , NVMe , SATA / [후면단자] HDMI / D-SUB / USB3.x 5Gbps / USB 2.0 / RJ-45 / 오디오잭 / PS/2 / USB A타입 : 6개 / [랜/오디오] 유선랜 칩셋 : Realtek RTL8111H / 1Gbps / RJ-45 : 1개 / 오디오 칩셋 : Realtek ALC887 / 7.1채널(8ch) / [내부I/O] USB/팬 헤더 : USB3.0 헤더 , USB2.0 헤더 / 시스템팬 4핀 : 1개 / I/O 헤더 : TPM 헤더 / [특징] UEFI 닫기",https://img.danuri.io/catalog-image/293/060/012/179e4bf8ca96485b8111c10aa592630d.jpg?shrink=130:130&_v=20260921080609,https://prod.danawa.com/info/?pcode=12060293&cate=112751
10,ASUS,ASUS EX A320M-GAMING 대원씨티에스,"116,000","AMD(소켓AM4) / AMD A320 / DDR4 / VGA 연결 : PCIe3.0 x16 / M-ATX (24.4x24.4cm) / 전원부 : 6페이즈 / [메모리] 2666MHz (PC4-21300) / 4개 / 메모리 용량 : 최대 64GB / [확장슬롯] PCIe버전 : PCIe3.0 / PCIex16 : 1개 / PCIex4 : 1개 / PCIex1 : 1개 / [저장장치] M.2 : 1개 / SATA3 : 4개 / M.2 연결 : PCIe , SATA / [후면단자] HDMI / DVI / USB3.x 5Gbps / USB 2.0 / RJ-45 / 오디오잭 / PS/2 / USB A타입 : 6개 / [랜/오디오] 유선랜 칩셋 : Realtek RTL8111H / 1Gbps / RJ-45 : 1개 / 오디오 칩셋 : Realtek ALC887 / 7.1채널(8ch) / [특징] LED라이트 / UEFI 닫기",https://img.danuri.io/catalog-image/148/452/007/2853193b82404f9eb784f2507616b71a.jpg?shrink=130:130&_v=20260921080444,https://prod.danawa.com/info/?pcode=7452148&cate=112751
