번호,제조사,제품명,가격,세부스펙,이미지,상품주소
1,마이크로닉스,마이크로닉스 Classic II 850W 80PLUS골드 풀모듈러 ATX3.1,"149,000","ATX 파워 / 850W / 80 PLUS 골드 / 케이블연결 : 풀모듈러 / 전압변동 : ±0.5% / +12V 싱글레일 / 액티브PFC / PF(역률) : 99% / 120mm 팬 / 깊이 : 140mm / 무상 10년 / [커넥터] 메인전원 : 24핀(20+4) / 보조전원 : 8핀x1, (4+4)핀x1 / PCIe 16핀(12+4) : 12V2x6 1개 / PCIe 8핀(6+2) : 3개 / SATA : 8개 / IDE 4핀 : 4개 / FDD : 1개 / [부가기능] 팬리스모드 / 자동 팬 조절 / 대기전력 1W 미만 / 플랫케이블 / [변경사항] 25년 7월 PCIe 8핀(6+2) 2개→3개로 변경 닫기",https://img.danuri.io/catalog-image/078/815/051/ea4478cdd46e4e3abc021f713f4f5cac.jpeg?shrink=130:130&_v=20260921081038,https://prod.danawa.com/info/?pcode=51815078&cate=112777
2,마이크로닉스,마이크로닉스 Classic II 풀체인지 700W 80PLUS실버 ATX3.1,"87,420","ATX 파워 / 700W / 80 PLUS 실버 / ETA인증 : SILVER / LAMBDA인증 : STANDARD++ / 전압변동 : ±0.5% / +12V 싱글레일 / +12V 가용률 : 100% / 액티브PFC / PF(역률) : 99% / 120mm 팬 / 깊이 : 140mm / 무상 7년 / [커넥터] 메인전원 : 24핀 / 보조전원 : 8핀x1, (4+4)핀x1 / PCIe 16핀(12+4) : 12V2x6 1개 / PCIe 8핀(6+2) : 2개 / SATA : 6개 / IDE 4핀 : 4개 / [부가기능] 대기전력 1W 미만 닫기",https://img.danuri.io/catalog-image/309/986/096/bc73ea40a4514430abe4148ef6ae8380.jpeg?shrink=130:130&_v=20260921144128,https://prod.danawa.com/info/?pcode=96986309&cate=112777
3,마이크로닉스,마이크로닉스 Classic II 750W 80PLUS골드 풀모듈러 ATX3.1,"126,110","ATX 파워 / 750W / 80 PLUS 골드 / 케이블연결 : 풀모듈러 / 전압변동 : ±0.2% / +12V 싱글레일 / +12V 가용률 : 100% / 액티브PFC / PF(역률) : 99% / 120mm 팬 / 깊이 : 140mm / 무상 10년 / [커넥터] 메인전원 : 24핀(20+4) / 보조전원 : 8핀x1, (4+4)핀x1 / PCIe 16핀(12+4) : 12V2x6 1개 / PCIe 8핀(6+2) : 2개 / SATA : 8개 / IDE 4핀 : 4개 / FDD : 1개 / [부가기능] 팬리스모드 / 자동 팬 조절 / 대기전력 1W 미만 / 플랫케이블 닫기",https://img.danuri.io/catalog-image/891/913/058/4efa58882eca4672a276e7c0038b78c1.jpg?shrink=130:130&_v=20260921095709,https://prod.danawa.com/info/?pcode=58913891&cate=112777
4,마이크로닉스,마이크로닉스 Classic II 풀체인지 600W 80PLUS실버 ATX3.1,"64,400","ATX 파워 / 600W / 80 PLUS 실버 / ETA인증 : SILVER / LAMBDA인증 : STANDARD++ / 전압변동 : ±0.5% / +12V 싱글레일 / +12V 가용률 : 100% / 액티브PFC / PF(역률) : 99% / 120mm 팬 / 깊이 : 140mm / 무상 7년 / [커넥터] 메인전원 : 24핀 / 보조전원 : 8핀x1, 4핀x1 / PCIe 8핀(6+2) : 2개 / SATA : 6개 / IDE 4핀 : 4개 / [부가기능] 대기전력 1W 미만 닫기",https://img.danuri.io/catalog-image/270/986/096/d6b3a18236d84022881c8fe0629985dd.jpg?shrink=130:130&_v=20260921133218,https://prod.danawa.com/info/?pcode=96986270&cate=112777
5,마이크로닉스,마이크로닉스 Classic II 1050W 80PLUS골드 풀모듈러 ATX3.1,"184,810","ATX 파워 / 1050W / 80 PLUS 골드 / 케이블연결 : 풀모듈러 / 전압변동 : ±0.1% / +12V 싱글레일 / +12V 가용률 : 100% / 액티브PFC / PF(역률) : 99% / 120mm 팬 / 깊이 : 140mm / 무상 10년 / [커넥터] 메인전원 : 24핀(20+4) / 보조전원 : 8핀x1, (4+4)핀x1 / PCIe 16핀(12+4) : 12V2x6 1개 / PCIe 8핀(6+2) : 3개 / SATA : 8개 / IDE 4핀 : 4개 / FDD : 1개 / [부가기능] 팬리스모드 / 자동 팬 조절 / 대기전력 1W 미만 / 플랫케이블 / 제로팬모드 / 메쉬케이블 / 25년 7월 PCIe 8핀(6+2) 4개→3개로 변경 닫기",https://img.danuri.io/catalog-image/591/029/063/bd5cfa0a468746af825adb11f6fa3fed.jpg?shrink=130:130&_v=20260921081224,https://prod.danawa.com/info/?pcode=63029591&cate=112777
6,마이크로닉스,마이크로닉스 Classic II 풀체인지 650W 80PLUS스탠다드 ATX3.1,"65,000",ATX 파워 / 650W / 80 PLUS 스탠다드 / 전압변동 : ±0.32% / +12V 싱글레일 / +12V 가용률 : 100% / 액티브PFC / PF(역률) : 99% / 120mm 팬 / 깊이 : 140mm / 무상 7년 / [커넥터] 메인전원 : 24핀(20+4) / 보조전원 : (4+4)핀x1 / PCIe 8핀(6+2) : 2개 / SATA : 4개 / IDE 4핀 : 2개 / [부가기능] 대기전력 1W 미만 / 플랫케이블 닫기,https://img.danuri.io/catalog-image/889/979/072/36236d17a1914c52bb1193951a62d78a.jpg?shrink=130:130&_v=20260921131214,https://prod.danawa.com/info/?pcode=72979889&cate=112777
7,마이크로닉스,마이크로닉스 Classic II 풀체인지 500W 80PLUS실버 ATX3.1,"56,400","ATX 파워 / 500W / 80 PLUS 실버 / ETA인증 : SILVER / LAMBDA인증 : A- / 전압변동 : ±0.5% / +12V 싱글레일 / +12V 가용률 : 100% / 액티브PFC / PF(역률) : 99% / 120mm 팬 / 깊이 : 140mm / 무상 7년 / [커넥터] 메인전원 : 24핀 / 보조전원 : 8핀x1, 4핀x1 / PCIe 8핀(6+2) : 2개 / SATA : 6개 / IDE 4핀 : 3개 / [부가기능] 대기전력 1W 미만 닫기",https://img.danuri.io/catalog-image/219/986/096/187d4788f5f94df58e13391cf453fd1a.jpg?shrink=130:130&_v=20260921133134,https://prod.danawa.com/info/?pcode=96986219&cate=112777
8,마이크로닉스,마이크로닉스 WIZMAX G-1000W 80PLUS골드 ATX3.1,"195,990",ATX 파워 / 1000W / 80 PLUS 골드 / 케이블연결 : 풀모듈러 / ETA인증 : GOLD / LAMBDA인증 : A+ / 전압변동 : ±0.8% / +12V 싱글레일 / +12V 가용률 : 100% / 액티브PFC / PF(역률) : 99% / 140mm 팬 / 깊이 : 150mm / 무상 10년 / [커넥터] 메인전원 : 24핀(20+4) / 보조전원 : (4+4)핀x2 / PCIe 16핀(12+4) : 12V2x6 1개 / PCIe 8핀(6+2) : 4개 / SATA : 8개 / IDE 4핀 : 4개 / [부가기능] 팬리스모드 / 자동 팬 조절 / 대기전력 1W 미만 / 프리볼트 닫기,https://img.danuri.io/catalog-image/607/643/090/ee27d0648b024abc98fbc4da1a98da8a.jpg?shrink=130:130&_v=20260921130608,https://prod.danawa.com/info/?pcode=90643607&cate=112777
9,마이크로닉스,마이크로닉스 WIZMAX G-1200W 80PLUS골드 ATX3.1,"206,490",ATX 파워 / 1200W / 80 PLUS 골드 / 케이블연결 : 풀모듈러 / ETA인증 : PLATINUM / LAMBDA인증 : A / 전압변동 : ±0.7% / +12V 싱글레일 / +12V 가용률 : 100% / 액티브PFC / PF(역률) : 99% / 140mm 팬 / 깊이 : 150mm / 무상 10년 / [커넥터] 메인전원 : 24핀(20+4) / 보조전원 : (4+4)핀x2 / PCIe 16핀(12+4) : 12V2x6 2개 / PCIe 8핀(6+2) : 3개 / SATA : 8개 / IDE 4핀 : 4개 / [부가기능] 팬리스모드 / 자동 팬 조절 / 대기전력 1W 미만 / 프리볼트 닫기,https://img.danuri.io/catalog-image/040/482/092/35bb316d7fe74398b0e690ff0646fb71.jpg?shrink=130:130&_v=20260921092639,https://prod.danawa.com/info/?pcode=92482040&cate=112777
10,마이크로닉스,마이크로닉스 Classic II 850W 80PLUS골드 풀모듈러 ATX3.1 화이트,"149,000","ATX 파워 / 850W / 80 PLUS 골드 / 케이블연결 : 풀모듈러 / 전압변동 : ±0.5% / +12V 싱글레일 / 액티브PFC / PF(역률) : 99% / 120mm 팬 / 깊이 : 140mm / 무상 10년 / [커넥터] 메인전원 : 24핀(20+4) / 보조전원 : 8핀x1, (4+4)핀x1 / PCIe 16핀(12+4) : 12V2x6 1개 / PCIe 8핀(6+2) : 3개 / SATA : 8개 / IDE 4핀 : 4개 / FDD : 1개 / [부가기능] 팬리스모드 / 자동 팬 조절 / 대기전력 1W 미만 / 플랫케이블 / [변경사항] 25년 10월 PCIe 8핀(6+2) 2개→3개로 변경 닫기",https://img.danuri.io/catalog-image/848/487/047/3186865d86e2472f8fe2fca8341be852.jpeg?shrink=130:130&_v=20260921080609,https://prod.danawa.com/info/?pcode=47487848&cate=112777
