번호,제조사,용량_GB,제품명,가격,세부스펙,이미지,상품주소
1,삼성전자,8GB,삼성전자 DDR4-3200 중고,"68,990",데스크탑용 / DDR4 / 3200MHz (PC4-25600) / 램개수 : 1개 / 히트싱크 : 미포함,https://img.danuri.io/catalog-image/048/578/015/0eb8a8efdd134cecbdb4b118bfbcb6ef.jpg?shrink=130:130&_v=20260921155628,https://prod.danawa.com/info/?pcode=15578048&cate=112752
2,삼성전자,8GB,삼성전자 DDR4-3200,"80,190",데스크탑용 / DDR4 / 3200MHz (PC4-25600) / 램개수 : 1개 / 히트싱크 : 미포함 / 단종된 모델이므로 중고상품 주의하시기 바랍니다,https://img.danuri.io/catalog-image/857/541/011/a5cd8f444ed445cf94eefda7d25a45ff.jpg?shrink=130:130&_v=20260921143813,https://prod.danawa.com/info/?pcode=11541857&cate=112752
3,삼성전자,8GB,삼성전자 DDR4-2666 중고,"55,000",데스크탑용 / DDR4 / 2666MHz (PC4-21300) / 램개수 : 1개 / 히트싱크 : 미포함,https://img.danuri.io/catalog-image/972/158/008/c61a9e406e5e4ded92ebecaa56723ab2.jpg?shrink=130:130&_v=20260921161549,https://prod.danawa.com/info/?pcode=8158972&cate=112752
4,삼성전자,8GB,삼성전자 DDR4-2666,"67,790",데스크탑용 / DDR4 / 2666MHz (PC4-21300) / 램개수 : 1개 / 히트싱크 : 미포함 / 단종된 모델이므로 중고상품 주의하시기 바랍니다,https://img.danuri.io/catalog-image/666/937/005/cefa1d5c69ad4e918d512ad0d0fa1587.jpg?shrink=130:130&_v=20260921145348,https://prod.danawa.com/info/?pcode=5937666&cate=112752
5,삼성전자,8GB,삼성전자 DDR4-2400 중고,"53,980",데스크탑용 / DDR4 / 2400MHz (PC4-19200) / 램개수 : 1개 / 히트싱크 : 미포함,https://img.danuri.io/catalog-image/449/236/011/ccb5cb44a01f4785b4f203721b3b66a9.jpg?shrink=130:130&_v=20260921080622,https://prod.danawa.com/info/?pcode=11236449&cate=112752
6,삼성전자,8GB,삼성전자 DDR4-2400,"55,000",데스크탑용 / DDR4 / 2400MHz (PC4-19200) / 램개수 : 1개 / 히트싱크 : 미포함,https://img.danuri.io/catalog-image/051/343/004/5e5d16947c3c418da09cbf110f418303.jpg?shrink=130:130&_v=20260921080455,https://prod.danawa.com/info/?pcode=4343051&cate=112752
7,삼성전자,8GB,삼성전자 DDR4-2133 중고,"50,770",데스크탑용 / DDR4 / 2133MHz (PC4-17000) / 램개수 : 1개 / 히트싱크 : 미포함,https://img.danuri.io/catalog-image/841/676/005/69b084a45b564b7b8fe4a490d7838c77.jpg?shrink=130:130&_v=20260921161049,https://prod.danawa.com/info/?pcode=5676841&cate=112752
8,삼성전자,8GB,삼성전자 DDR4-2933 중고,"95,890",데스크탑용 / DDR4 / 2933MHz (PC4-23400) / 1.20V / 램개수 : 1개 / 히트싱크 : 미포함,https://img.danuri.io/catalog-image/794/844/017/56790e9c0bd54a3082b68135606e7798.jpg?shrink=130:130&_v=20260921142643,https://prod.danawa.com/info/?pcode=17844794&cate=112752
9,삼성전자,8GB,삼성전자 DDR4-2933,"95,000",데스크탑용 / DDR4 / 2933MHz (PC4-23400) / 1.20V / 램개수 : 1개 / 히트싱크 : 미포함,https://img.danuri.io/catalog-image/427/376/010/b17f839a12d5482b90667d9002712525.jpg?shrink=130:130&_v=20260921080444,https://prod.danawa.com/info/?pcode=10376427&cate=112752
10,PATRIOT,8GB,PATRIOT DDR4-3200 CL22 SIGNATURE,"85,480",데스크탑용 / DDR4 / 3200MHz (PC4-25600) / 램타이밍 : CL22-22-22-52 / 1.20V / 램개수 : 1개 / 히트싱크 : 미포함 / 높이 : 31mm / 2022년 12월부로 유통사변경,https://img.danuri.io/catalog-image/204/445/011/02aee2852aae442e84e7ccbbf8c0f43b.jpg?shrink=130:130&_v=20260921080441,https://prod.danawa.com/info/?pcode=11445204&cate=112752
11,ESSENCORE,8GB,ESSENCORE KLEVV DDR4-3200 CL22 파인인포,"85,920",데스크탑용 / DDR4 / 3200MHz (PC4-25600) / 램타이밍 : CL22-22-22-51 / 1.20V / 램개수 : 1개 / 히트싱크 : 미포함 / 모듈제조사 : SK하이닉스,https://img.danuri.io/catalog-image/049/787/011/347bdd54366b42bda45c57e58c8f7458.jpg?shrink=130:130&_v=20260921110809,https://prod.danawa.com/info/?pcode=11787049&cate=112752
12,ESSENCORE,8GB,ESSENCORE KLEVV DDR4-3200 CL16 BOLT X 서린,"119,000",데스크탑용 / DDR4 / 3200MHz (PC4-25600) / 램타이밍 : CL16-18-18-38 / 1.35V / 램개수 : 1개 / XMP / 히트싱크 : 방열판 / 방열판 색상 : 블랙 / 높이 : 33mm / 모듈제조사 : SK하이닉스,https://img.danuri.io/catalog-image/110/867/027/5a0a8963ae364c72b22851f732325fe9.jpg?shrink=130:130&_v=20260921080622,https://prod.danawa.com/info/?pcode=27867110&cate=112752
13,ESSENCORE,8GB,ESSENCORE KLEVV DDR4-3200 CL22 중고,"85,000",데스크탑용 / DDR4 / 3200MHz (PC4-25600) / 램타이밍 : CL22-22-22-51 / 1.20V / 램개수 : 1개 / 히트싱크 : 미포함 / 모듈제조사 : SK하이닉스,https://img.danuri.io/catalog-image/874/133/123/d87f0318f80b4b69a69b3427d26aaf7b.jpg?shrink=130:130&_v=20260921080404,https://prod.danawa.com/info/?pcode=123133874&cate=112752
14,G.SKILL,8GB,G.SKILL DDR4-3200 CL16 AEGIS,"94,000",데스크탑용 / DDR4 / 3200MHz (PC4-25600) / 램타이밍 : CL16-18-18-38 / 1.35V / 램개수 : 1개 / XMP / 히트싱크 : 미포함,https://img.danuri.io/catalog-image/730/593/009/e88cbc1960b54b73a2cdeba056cc3473.jpg?shrink=130:130&_v=20260921142644,https://prod.danawa.com/info/?pcode=9593730&cate=112752
15,G.SKILL,8GB,G.SKILL DDR4-2666 CL19 AEGIS,"96,950",데스크탑용 / DDR4 / 2666MHz (PC4-21300) / 램타이밍 : CL19-19-19-43 / 1.20V / 램개수 : 1개 / 히트싱크 : 미포함,https://img.danuri.io/catalog-image/268/002/006/4fb2be646b5e4d36a484f3b6a5ca44d8.jpg?shrink=130:130&_v=20260921160933,https://prod.danawa.com/info/?pcode=6002268&cate=112752
16,TeamGroup,8GB,TeamGroup DDR4-3200 Elite 서린,"107,000",데스크탑용 / DDR4 / 3200MHz (PC4-25600) / 램타이밍 : CL22-22-22-52 / 1.20V / 램개수 : 1개 / 히트싱크 : 미포함,https://img.danuri.io/catalog-image/443/907/014/bc99606c337e4676b6ad50ec8df0867b.jpg?shrink=130:130&_v=20260921080444,https://prod.danawa.com/info/?pcode=14907443&cate=112752
17,TeamGroup,8GB,TeamGroup DDR4-3200 Elite,"85,480",데스크탑용 / DDR4 / 3200MHz (PC4-25600) / 램타이밍 : CL22-22-22-52 / 1.20V / 램개수 : 1개 / 히트싱크 : 미포함,https://img.danuri.io/catalog-image/141/188/010/506b651d3b5a42568bf2f8f547eed219.jpg?shrink=130:130&_v=20260921080442,https://prod.danawa.com/info/?pcode=10188141&cate=112752
18,TeamGroup,8GB,TeamGroup DDR4-2666 Elite,"86,000",데스크탑용 / DDR4 / 2666MHz (PC4-21300) / 램타이밍 : CL19-19-19-43 / 1.20V / 램개수 : 1개 / 히트싱크 : 미포함 / 2021년 3월 부로 가넷씨앤아이→아인스시스템 으로 유통사가 변경되었습니다,https://img.danuri.io/catalog-image/228/680/005/93e912e85e42400a98456411e54360fb.jpg?shrink=130:130&_v=20260920080635,https://prod.danawa.com/info/?pcode=5680228&cate=112752
19,삼성전자,16GB,삼성전자 DDR4-3200 중고,"164,490",데스크탑용 / DDR4 / 3200MHz (PC4-25600) / 램개수 : 1개 / 히트싱크 : 미포함,https://img.danuri.io/catalog-image/766/126/016/370bda7aeaa04dd6b81a6d96cd55d09a.jpg?shrink=130:130&_v=20260921080441,https://prod.danawa.com/info/?pcode=16126766&cate=112752
20,삼성전자,16GB,삼성전자 DDR4-3200,"193,980",데스크탑용 / DDR4 / 3200MHz (PC4-25600) / 램개수 : 1개 / 히트싱크 : 미포함 / 단종된 모델이므로 중고상품 주의하시기 바랍니다,https://img.danuri.io/catalog-image/199/790/011/2aa64d8e13ee41f291ffd8598e7961a2.jpg?shrink=130:130&_v=20260921080458,https://prod.danawa.com/info/?pcode=11790199&cate=112752
21,삼성전자,16GB,삼성전자 DDR4-2666 중고,"132,900",데스크탑용 / DDR4 / 2666MHz (PC4-21300) / 램개수 : 1개 / 히트싱크 : 미포함,https://img.danuri.io/catalog-image/329/165/008/440844aaa86546b2ba3f925746b0eb94.jpg?shrink=130:130&_v=20260921080458,https://prod.danawa.com/info/?pcode=8165329&cate=112752
