번호,제품명,용량,가격,세부스펙,이미지,상품주소
1,ESSENCORE KLEVV CRAS C910G M.2 NVMe,4TB,"945,690","M.2 (2280) / PCIe4.0x4 (64GT/s) / TLC / 컨트롤러 : 기타 / [성능] 순차읽기 : 5,000MB/s / 순차쓰기 : 4,800MB/s / 읽기IOPS : 620K / 쓰기IOPS : 615K / [지원기능] TRIM / S.M.A.R.T / SLC캐싱 / HMB / ECC / AES 암호화 / 전용 S/W / [환경특성] TBW : 700TB / A/S기간 : 5년 , 제한보증 / 방열판 포함 / 두께 : 2.8mm / 10g",https://img.danuri.io/catalog-image/505/242/098/176951fa462a47c4aad23a32c0f868dc.jpg?shrink=130:130&_v=20260921081044,https://prod.danawa.com/info/?pcode=98242550&cate=112760
2,ESSENCORE KLEVV CRAS C910G M.2 NVMe,2TB,"517,000","M.2 (2280) / PCIe4.0x4 (64GT/s) / TLC / 컨트롤러 : 기타 / [성능] 순차읽기 : 5,000MB/s / 순차쓰기 : 4,800MB/s / 읽기IOPS : 620K / 쓰기IOPS : 615K / [지원기능] TRIM / S.M.A.R.T / SLC캐싱 / HMB / ECC / AES 암호화 / 전용 S/W / [환경특성] TBW : 700TB / A/S기간 : 5년 , 제한보증 / 방열판 포함 / 두께 : 2.8mm / 10g",https://img.danuri.io/catalog-image/505/242/098/176951fa462a47c4aad23a32c0f868dc.jpg?shrink=130:130&_v=20260921081044,https://prod.danawa.com/info/?pcode=98242532&cate=112760
3,ESSENCORE KLEVV CRAS C910G M.2 NVMe,1TB,"276,290","M.2 (2280) / PCIe4.0x4 (64GT/s) / TLC / 컨트롤러 : 기타 / [성능] 순차읽기 : 5,000MB/s / 순차쓰기 : 4,800MB/s / 읽기IOPS : 620K / 쓰기IOPS : 615K / [지원기능] TRIM / S.M.A.R.T / SLC캐싱 / HMB / ECC / AES 암호화 / 전용 S/W / [환경특성] TBW : 700TB / A/S기간 : 5년 , 제한보증 / 방열판 포함 / 두께 : 2.8mm / 10g",https://img.danuri.io/catalog-image/505/242/098/176951fa462a47c4aad23a32c0f868dc.jpg?shrink=130:130&_v=20260921081044,https://prod.danawa.com/info/?pcode=98242505&cate=112760
4,ESSENCORE KLEVV CRAS C910G M.2 NVMe,500GB,"169,980","M.2 (2280) / PCIe4.0x4 (64GT/s) / TLC / 컨트롤러 : 기타 / [성능] 순차읽기 : 5,000MB/s / 순차쓰기 : 4,800MB/s / 읽기IOPS : 620K / 쓰기IOPS : 615K / [지원기능] TRIM / S.M.A.R.T / SLC캐싱 / HMB / ECC / AES 암호화 / 전용 S/W / [환경특성] TBW : 700TB / A/S기간 : 5년 , 제한보증 / 방열판 포함 / 두께 : 2.8mm / 10g",https://img.danuri.io/catalog-image/505/242/098/176951fa462a47c4aad23a32c0f868dc.jpg?shrink=130:130&_v=20260921081044,https://prod.danawa.com/info/?pcode=98242472&cate=112760
5,삼성전자 990 PRO M.2 NVMe,4TB,"1,442,890","M.2 (2280) / PCIe4.0x4 (64GT/s) / TLC(토글) / DRAM 탑재 / DDR4 2GB / 컨트롤러 : 삼성 Pascal / [성능] 순차읽기 : 7,450MB/s / 순차쓰기 : 6,900MB/s / 읽기IOPS : 1,400K / 쓰기IOPS : 1,550K / [지원기능] TRIM / S.M.A.R.T / SLC캐싱 / GC / DEVSLP / AES 암호화 / 전용 S/W / [환경특성] MTBF : 150만 / TBW : 1,200TB / SLC : 226GB / PS5 호환 / A/S기간 : 5년 , 제한보증 / 방열판 미포함 / 두께 : 2.3mm / 9g",https://img.danuri.io/catalog-image/722/297/018/86053af7566c43d8b3c56da85d1ac491.jpg?shrink=130:130&_v=20260921120408,https://prod.danawa.com/info/?pcode=28131875&cate=112760
6,삼성전자 990 PRO M.2 NVMe,2TB,"639,000","M.2 (2280) / PCIe4.0x4 (64GT/s) / TLC(토글) / DRAM 탑재 / DDR4 2GB / 컨트롤러 : 삼성 Pascal / [성능] 순차읽기 : 7,450MB/s / 순차쓰기 : 6,900MB/s / 읽기IOPS : 1,400K / 쓰기IOPS : 1,550K / [지원기능] TRIM / S.M.A.R.T / SLC캐싱 / GC / DEVSLP / AES 암호화 / 전용 S/W / [환경특성] MTBF : 150만 / TBW : 1,200TB / SLC : 226GB / PS5 호환 / A/S기간 : 5년 , 제한보증 / 방열판 미포함 / 두께 : 2.3mm / 9g",https://img.danuri.io/catalog-image/722/297/018/86053af7566c43d8b3c56da85d1ac491.jpg?shrink=130:130&_v=20260921120408,https://prod.danawa.com/info/?pcode=18297722&cate=112760
7,삼성전자 990 PRO M.2 NVMe,1TB,"397,040","M.2 (2280) / PCIe4.0x4 (64GT/s) / TLC(토글) / DRAM 탑재 / DDR4 2GB / 컨트롤러 : 삼성 Pascal / [성능] 순차읽기 : 7,450MB/s / 순차쓰기 : 6,900MB/s / 읽기IOPS : 1,400K / 쓰기IOPS : 1,550K / [지원기능] TRIM / S.M.A.R.T / SLC캐싱 / GC / DEVSLP / AES 암호화 / 전용 S/W / [환경특성] MTBF : 150만 / TBW : 1,200TB / SLC : 226GB / PS5 호환 / A/S기간 : 5년 , 제한보증 / 방열판 미포함 / 두께 : 2.3mm / 9g",https://img.danuri.io/catalog-image/722/297/018/86053af7566c43d8b3c56da85d1ac491.jpg?shrink=130:130&_v=20260921120408,https://prod.danawa.com/info/?pcode=18297002&cate=112760
8,타무즈 M740Q M.2 NVMe 벌크,1TB,"230,480","M.2 (2280) / PCIe3.0x4 (32GT/s) / QLC / 컨트롤러 : 기타 / [성능] 순차읽기 : 3,000MB/s / 순차쓰기 : 1,800MB/s / 읽기IOPS : 314K / 쓰기IOPS : 286K / [지원기능] TRIM / S.M.A.R.T / SLC캐싱 / GC / ECC / DEVSLP / [환경특성] MTBF : 100만 / TBW : 300TB / A/S기간 : 3년 , 제한보증 / 방열판 미포함 / 두께 : 2.15mm / 5g",https://img.danuri.io/catalog-image/572/692/103/7c2cd6e3e7b14637888e4298a30ee4e6.jpg?shrink=130:130&_v=20260921124804,https://prod.danawa.com/info/?pcode=103692554&cate=112760
9,타무즈 M740Q M.2 NVMe 벌크,512GB,"127,510","M.2 (2280) / PCIe3.0x4 (32GT/s) / QLC / 컨트롤러 : 기타 / [성능] 순차읽기 : 3,000MB/s / 순차쓰기 : 1,800MB/s / 읽기IOPS : 314K / 쓰기IOPS : 286K / [지원기능] TRIM / S.M.A.R.T / SLC캐싱 / GC / ECC / DEVSLP / [환경특성] MTBF : 100만 / TBW : 300TB / A/S기간 : 3년 , 제한보증 / 방열판 미포함 / 두께 : 2.15mm / 5g",https://img.danuri.io/catalog-image/572/692/103/7c2cd6e3e7b14637888e4298a30ee4e6.jpg?shrink=130:130&_v=20260921124804,https://prod.danawa.com/info/?pcode=103692572&cate=112760
10,타무즈 M740Q M.2 NVMe 벌크,256GB,"88,990","M.2 (2280) / PCIe3.0x4 (32GT/s) / QLC / 컨트롤러 : 기타 / [성능] 순차읽기 : 3,000MB/s / 순차쓰기 : 1,800MB/s / 읽기IOPS : 314K / 쓰기IOPS : 286K / [지원기능] TRIM / S.M.A.R.T / SLC캐싱 / GC / ECC / DEVSLP / [환경특성] MTBF : 100만 / TBW : 300TB / A/S기간 : 3년 , 제한보증 / 방열판 미포함 / 두께 : 2.15mm / 5g",https://img.danuri.io/catalog-image/572/692/103/7c2cd6e3e7b14637888e4298a30ee4e6.jpg?shrink=130:130&_v=20260921124804,https://prod.danawa.com/info/?pcode=103692578&cate=112760
